선수,연도,팀,연봉(만원),WAR
박한길,2020,롯데,"3,200",0.00
배성근,2020,롯데,"3,200",-0.14
장원삼,2020,롯데,"3,000",-0.01
나원탁,2020,롯데,"3,000",0.00
김주현,2020,롯데,"3,000",0.00
이인복,2020,롯데,"3,000",0.38
신동훈,2020,롯데,"3,000",0.00
김민수,2020,롯데,"3,000",0.15
김상호,2020,롯데,"3,000",0.00
정보근,2020,롯데,"2,900",-1.47
김대우,2020,롯데,"2,900",0.92
신용수,2020,롯데,"2,900",0.05
김재유,2020,롯데,"2,900",0.79
최민재,2020,롯데,"2,800",0.00
정태승,2020,롯데,"2,800",-0.08
윤성빈,2020,롯데,"2,800",0.00
황성빈,2020,롯데,"2,700",0.00
한지운,2020,롯데,"2,700",0.00
김현종,2020,롯데,"2,700",0.00
차혜성,2020,롯데,"2,700",0.00
신학진,2020,롯데,"2,700",0.00
엄태호,2020,롯데,"2,700",0.00
설재민,2020,롯데,"2,700",0.00
장국헌,2020,롯데,"2,700",0.00
김민기,2020,롯데,"2,700",0.00
홍민기,2020,롯데,"2,700",0.00
김건우,2020,롯데,"2,700",0.00
배장호,2020,롯데,"2,700",0.00
정도웅,2020,롯데,"2,700",0.00
최준용,2020,롯데,"2,700",0.32
박재민,2020,롯데,"2,700",0.00
박명현,2020,롯데,"2,700",-0.02
추재현,2020,롯데,"2,700",-0.05
최하늘,2020,롯데,"2,700",0.00
이호연,2020,롯데,"2,700",0.00
김현,2020,롯데,"2,700",0.00
이승헌,2020,롯데,"2,700",0.60
한승혁,2020,롯데,"2,700",0.12
박종무,2020,롯데,"2,700",0.00
강태율,2020,롯데,"2,700",0.69
김강현,2020,롯데,"2,700",0.03
조현수,2020,롯데,"2,700",0.00
김동규,2020,롯데,"2,700",0.00
박영완,2020,롯데,"2,700",0.00
서폴드,2020,한화,"90,000",2.19
정우람,2020,한화,"80,000",0.86
채드벨,2020,한화,"60,000",0.66
호잉,2020,한화,"55,000",-0.20
이성열,2020,한화,"50,000",-1.11
김태균,2020,한화,"50,000",-0.74
이용규,2020,한화,"40,000",0.72
안영명,2020,한화,"35,000",-0.06
송광민,2020,한화,"25,000",-0.68
노수광,2020,한화,"21,000",0.67
최재훈,2020,한화,"20,000",3.52
윤규진,2020,한화,"17,000",-0.07
송창식,2020,한화,"16,000",0.00
최진행,2020,한화,"16,000",-0.57
하주석,2020,한화,"14,000",0.43
정은원,2020,한화,"12,000",1.07
신정락,2020,한화,"12,000",0.01
정진호,2020,한화,"11,300",2.12
박상원,2020,한화,"11,000",0.12
