순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,연도,연봉(만원),WAR,후년연봉,연차
21,이원석,한화,0.175,43,130,114,12,20,1,1,1,26,9,4,2,8,0,2,43,1,0.228,0.238,0.466,2,0.217,0.667,2021,3000,-1.05,3300,3
25,이원석,한화,0.114,20,39,35,4,4,0,0,1,7,1,1,0,3,0,0,18,1,0.2,0.184,0.384,0,0,0,2022,3300,-0.46,3300,4
14,이원석,키움,0.246,89,345,305,22,75,10,0,2,91,30,1,2,34,1,3,67,9,0.298,0.326,0.624,18,0.286,0.167,2023,20000,-0.99,40000,19
18,이원석,한화,0.19,81,138,116,20,22,1,1,0,25,8,0,0,21,0,1,33,3,0.216,0.319,0.535,3,0.212,0,2023,3300,0.25,3600,5
17,이유찬,두산,0.241,13,31,29,3,7,0,0,1,10,2,1,1,0,0,0,12,0,0.345,0.233,0.578,2,0,0,2022,6000,-0.2,6000,6
11,이유찬,두산,0.243,104,239,210,31,51,7,2,1,65,16,5,1,20,0,3,51,0,0.31,0.316,0.626,10,0.17,0.333,2023,6000,1.43,8500,7
24,이재원,LG,0.05,16,22,20,1,1,0,0,0,1,0,0,0,2,0,0,11,0,0.05,0.136,0.186,0,0,0,2020,2700,-0.46,3200,1
23,이재원,SSG,0.185,80,251,222,18,41,8,0,2,55,21,3,1,19,3,6,24,12,0.248,0.266,0.514,7,0.237,0.333,2020,130000,0.11,130000,15
9,이재원,LG,0.247,62,171,154,22,38,6,0,5,59,17,0,1,14,0,2,48,2,0.383,0.316,0.699,9,0.191,0,2021,3200,0.75,5200,2
4,이재원,SSG,0.28,107,313,271,29,76,13,0,3,98,30,6,2,29,4,5,47,14,0.362,0.358,0.72,16,0.292,0.25,2021,130000,1.38,100000,16
14,이재원,LG,0.224,85,253,223,31,50,8,2,13,101,43,0,0,18,2,12,77,3,0.453,0.316,0.769,10,0.262,0.286,2022,5200,1.62,8500,3
21,이재원,SSG,0.201,105,279,234,27,47,6,0,4,65,28,9,3,25,1,8,44,13,0.278,0.296,0.574,5,0.208,0.125,2022,100000,0.23,10000,17
14,이재원,LG,0.214,57,129,112,15,24,5,0,4,41,18,0,3,12,2,2,40,1,0.366,0.295,0.661,4,0.242,0.133,2023,8500,0.15,7000,4
17,이재현,삼성,0.235,75,239,230,23,54,4,0,7,79,23,3,0,5,0,1,44,6,0.343,0.254,0.597,13,0.25,0,2022,3000,0.06,6000,1
12,이재현,삼성,0.249,143,538,458,61,114,19,2,12,173,60,16,6,52,0,6,89,9,0.378,0.33,0.708,24,0.24,0,2023,6000,2.98,14000,2
28,이주형,키움,0.1,5,11,10,1,1,0,0,1,4,3,0,0,1,0,0,7,0,0.4,0.182,0.582,0,0.25,0,2021,3000,0.01,3000,2
21,이주형,키움,0.169,32,85,71,7,12,0,0,1,15,8,0,1,10,0,3,27,0,0.211,0.294,0.505,0,0.143,0.111,2022,3000,-0.17,3700,3
5,이주형,키움,0.326,69,243,215,32,70,13,4,6,109,36,2,2,19,2,5,53,4,0.507,0.39,0.897,20,0.339,0.167,2023,3700,0,6600,4
4,이지영,키움,0.309,101,289,262,22,81,10,2,0,95,36,3,1,19,1,4,28,8,0.363,0.364,0.727,19,0.333,0.207,2020,30000,1.28,30000,12
6,이지영,키움,0.275,108,258,233,29,64,5,1,0,71,31,2,3,19,2,1,17,10,0.305,0.328,0.633,18,0.328,0.133,2021,30000,1.18,30000,13
6,이지영,키움,0.267,137,450,420,38,112,13,4,2,139,37,8,0,20,2,2,44,16,0.331,0.303,0.634,26,0.262,0.364,2022,30000,2.64,50000,14
19,이진영,KIA,0.227,32,27,22,4,5,1,0,0,6,5,0,0,5,0,0,9,1,0.273,0.37,0.643,1,0.3,0.167,2020,3400,0.07,3600,6
17,이진영,한화,0.2,70,240,220,27,44,12,1,8,82,31,0,3,17,0,0,90,4,0.373,0.254,0.627,11,0.222,0.375,2022,3600,-0.08,3900,7
8,이진영,한화,0.249,121,422,358,57,89,22,0,10,141,50,4,5,53,0,2,127,4,0.394,0.344,0.738,22,0.24,0.154,2023,3900,3.6,7000,8
5,이창진,KIA,0.33,22,99,88,19,29,8,1,0,39,7,0,0,10,0,1,17,2,0.443,0.404,0.847,7,0.294,0,2020,8500,0.27,7000,7
17,이창진,KIA,0.209,105,293,249,35,52,8,1,3,71,33,4,3,36,0,1,54,10,0.285,0.308,0.593,10,0.27,0.222,2021,7000,0.66,7000,8
6,이창진,KIA,0.301,111,404,346,56,104,14,0,7,139,48,11,4,41,0,2,63,7,0.402,0.374,0.776,30,0.29,0.333,2022,7000,2.47,14000,9
10,이창진,KIA,0.27,104,284,244,35,66,11,3,4,95,29,2,2,34,1,2,44,6,0.389,0.362,0.751,14,0.291,0.464,2023,14000,1.94,12000,10
17,이학주,삼성,0.228,64,243,206,30,47,11,0,4,70,28,4,5,26,1,2,58,3,0.34,0.314,0.654,10,0.234,0,2020,9000,1.45,7000,13
16,이학주,롯데,0.207,91,260,232,29,48,11,1,3,70,15,9,1,16,0,2,54,3,0.302,0.263,0.565,9,0.19,0,2022,7000,-0.61,7200,14
22,이학주,롯데,0.209,104,122,110,22,23,2,0,3,34,13,0,0,11,0,1,31,2,0.309,0.287,0.596,3,0.235,0,2023,7200,0,9200,15
6,이형종,LG,0.296,81,323,287,41,85,17,2,17,157,50,0,2,27,1,7,61,7,0.547,0.368,0.915,23,0.288,0.143,2020,20000,2.98,18000,14
16,이형종,LG,0.218,90,281,239,32,52,11,0,10,93,34,1,0,34,1,7,65,10,0.389,0.332,0.721,11,0.154,0.222,2021,18000,0.62,12000,15
