선수,출신학교
홍성민,노암초경포중강릉고한양대
이승호,삼성초개성중경남고
송성문,봉천초용산홍은중장충고
이형종,화곡초양천중서울고
김태진,수유초신일중신일고
임창민,대성초광주동성중광주동성고연세대
맥키니,
정찬헌,송정동초충장중광주제일고
김준완,길동초건대부중장충고고려대
양현,영랑초한밭중대전고
도슨,
전병우,동삼초경남중개성고동아대
김휘집,양목초대치중신일고
김선기,석교초세광중세광고
문성현,남정초선린중충암고
이영준,영일초영남중덕수고단국대
김재현,진북초전라중대전고
김동혁,강남영동중덕수고
하영민,수창초진흥중진흥고
김웅빈,서라벌초울산제일중울산공고
임병욱,신곡초배명중덕수고
김주형,양정초경남중경남고홍익대
박준태,대연초부산중개성고인하대
임지열,신흥초건대부중덕수고
신준우,대구수창초경운중대구고
이명종,석교초세광중세광고
박승주,언북중경기고동국대
